datum,gewest,jaar,periode,aandeel_flats_maand,aandeel_flats_trend,appartementen_absoluut,woningen_totaal
1996-01-01,Vlaams Gewest,1996,1,32.4,32.4,752.0,2324.0
1996-02-01,Vlaams Gewest,1996,2,27.8,30.1,712.0,2560.0
1996-03-01,Vlaams Gewest,1996,3,41.6,33.9,1434.0,3448.0
1996-04-01,Vlaams Gewest,1996,4,25.0,31.7,756.0,3029.0
1996-05-01,Vlaams Gewest,1996,5,37.5,33.0,1221.0,3252.0
1996-06-01,Vlaams Gewest,1996,6,38.1,35.5,1298.0,3408.0
1996-07-01,Vlaams Gewest,1996,7,24.4,31.2,884.0,3620.0
1996-08-01,Vlaams Gewest,1996,8,32.7,33.2,724.0,2215.0
1996-09-01,Vlaams Gewest,1996,9,36.3,32.9,1037.0,2860.0
1996-10-01,Vlaams Gewest,1996,10,36.1,32.4,925.0,2559.0
1996-11-01,Vlaams Gewest,1996,11,45.1,37.5,976.0,2163.0
1996-12-01,Vlaams Gewest,1996,12,39.8,39.3,1049.0,2634.0
1997-01-01,Vlaams Gewest,1997,1,35.7,39.2,761.0,2132.0
1997-02-01,Vlaams Gewest,1997,2,33.0,38.4,661.0,2006.0
1997-03-01,Vlaams Gewest,1997,3,37.3,36.5,866.0,2323.0
1997-04-01,Vlaams Gewest,1997,4,32.4,34.6,858.0,2649.0
1997-05-01,Vlaams Gewest,1997,5,35.0,34.4,813.0,2320.0
1997-06-01,Vlaams Gewest,1997,6,27.0,32.9,800.0,2967.0
1997-07-01,Vlaams Gewest,1997,7,31.3,31.4,837.0,2672.0
1997-08-01,Vlaams Gewest,1997,8,28.8,30.5,600.0,2081.0
1997-09-01,Vlaams Gewest,1997,9,44.5,32.9,1409.0,3167.0
1997-10-01,Vlaams Gewest,1997,10,40.0,36.1,1104.0,2758.0
1997-11-01,Vlaams Gewest,1997,11,36.9,37.5,980.0,2659.0
1997-12-01,Vlaams Gewest,1997,12,44.9,41.6,2375.0,5294.0
1998-01-01,Vlaams Gewest,1998,1,41.8,40.9,479.0,1145.0
1998-02-01,Vlaams Gewest,1998,2,35.3,39.7,560.0,1586.0
1998-03-01,Vlaams Gewest,1998,3,42.3,41.1,1106.0,2614.0
1998-04-01,Vlaams Gewest,1998,4,42.3,40.4,947.0,2239.0
1998-05-01,Vlaams Gewest,1998,5,31.2,37.8,597.0,1912.0
1998-06-01,Vlaams Gewest,1998,6,33.7,37.4,979.0,2907.0
1998-07-01,Vlaams Gewest,1998,7,43.5,37.7,1085.0,2496.0
1998-08-01,Vlaams Gewest,1998,8,46.1,38.6,1080.0,2345.0
1998-09-01,Vlaams Gewest,1998,9,44.2,41.9,1007.0,2280.0
1998-10-01,Vlaams Gewest,1998,10,40.8,43.7,823.0,2018.0
1998-11-01,Vlaams Gewest,1998,11,38.2,42.3,733.0,1920.0
1998-12-01,Vlaams Gewest,1998,12,41.0,41.0,900.0,2196.0
1999-01-01,Vlaams Gewest,1999,1,41.9,40.5,857.0,2044.0
1999-02-01,Vlaams Gewest,1999,2,35.9,39.2,804.0,2242.0
1999-03-01,Vlaams Gewest,1999,3,41.1,40.0,1277.0,3106.0
1999-04-01,Vlaams Gewest,1999,4,35.4,38.6,760.0,2148.0
1999-05-01,Vlaams Gewest,1999,5,38.6,37.8,865.0,2240.0
1999-06-01,Vlaams Gewest,1999,6,38.2,38.3,1049.0,2747.0
1999-07-01,Vlaams Gewest,1999,7,43.6,39.0,1046.0,2397.0
1999-08-01,Vlaams Gewest,1999,8,42.3,40.7,1096.0,2591.0
1999-09-01,Vlaams Gewest,1999,9,46.1,42.5,1168.0,2531.0
1999-10-01,Vlaams Gewest,1999,10,43.8,44.0,1100.0,2510.0
1999-11-01,Vlaams Gewest,1999,11,37.8,42.5,777.0,2057.0
1999-12-01,Vlaams Gewest,1999,12,42.1,42.5,1301.0,3092.0
2000-01-01,Vlaams Gewest,2000,1,38.5,40.5,805.0,2092.0
2000-02-01,Vlaams Gewest,2000,2,45.0,40.9,1177.0,2617.0
2000-03-01,Vlaams Gewest,2000,3,39.4,41.2,1101.0,2794.0
2000-04-01,Vlaams Gewest,2000,4,48.4,42.8,1188.0,2455.0
2000-05-01,Vlaams Gewest,2000,5,32.8,41.4,761.0,2319.0
2000-06-01,Vlaams Gewest,2000,6,48.0,42.1,1143.0,2383.0
2000-07-01,Vlaams Gewest,2000,7,40.4,42.4,1015.0,2513.0
2000-08-01,Vlaams Gewest,2000,8,53.8,43.8,1374.0,2553.0
2000-09-01,Vlaams Gewest,2000,9,50.2,48.1,1175.0,2341.0
2000-10-01,Vlaams Gewest,2000,10,49.1,48.4,1247.0,2540.0
2000-11-01,Vlaams Gewest,2000,11,45.4,49.6,1075.0,2370.0
2000-12-01,Vlaams Gewest,2000,12,49.7,48.6,1055.0,2122.0
2001-01-01,Vlaams Gewest,2001,1,50.2,48.6,1154.0,2301.0
2001-02-01,Vlaams Gewest,2001,2,49.8,48.8,1252.0,2512.0
2001-03-01,Vlaams Gewest,2001,3,53.0,50.7,1668.0,3145.0
2001-04-01,Vlaams Gewest,2001,4,38.0,47.8,1041.0,2741.0
2001-05-01,Vlaams Gewest,2001,5,48.5,47.3,1236.0,2548.0
2001-06-01,Vlaams Gewest,2001,6,40.2,44.9,799.0,1987.0
2001-07-01,Vlaams Gewest,2001,7,33.6,40.1,767.0,2281.0
2001-08-01,Vlaams Gewest,2001,8,52.6,43.7,1060.0,2016.0
2001-09-01,Vlaams Gewest,2001,9,56.4,45.7,1373.0,2434.0
2001-10-01,Vlaams Gewest,2001,10,46.2,47.2,1218.0,2637.0
2001-11-01,Vlaams Gewest,2001,11,44.9,50.0,822.0,1831.0
2001-12-01,Vlaams Gewest,2001,12,48.9,49.1,906.0,1851.0
2002-01-01,Vlaams Gewest,2002,1,44.6,46.1,821.0,1839.0
